old_product_id,old_offer_id,new_product_id,new_offer_id,title,resolution_reason,execution_status,insert_status,delete_status,error_class
online:pt:BR:ALO-4584286-S,ALO-4584286-S,,,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4584286-XS,ALO-4584286-XS,,,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4584286-XXS,ALO-4584286-XXS,,,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4649822-OS,ALO-4649822-OS,,,Meia Alo Yoga Throwback Barre Branca,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-7326814-L,ALO-7326814-L,,,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-7326814-M,ALO-7326814-M,,,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-7326814-S,ALO-7326814-S,,,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-7326814-XS,ALO-7326814-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-8506462-L,ALO-8506462-L,,,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-8506462-M,ALO-8506462-M,,,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-8506462-S,ALO-8506462-S,,,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-8506462-XS,ALO-8506462-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9029342-M,ALO-9029342-M,,,Moletom De Capuchin Sweet Escape Zip Up,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9260126-L,ALO-9260126-L,,,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9260126-M,ALO-9260126-M,,,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9260126-S,ALO-9260126-S,,,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9260126-XS,ALO-9260126-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9507806-L,ALO-9507806-L,,,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9507806-M,ALO-9507806-M,,,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9507806-S,ALO-9507806-S,,,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-9507806-XS,ALO-9507806-XS,,,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-6956510-OS,APH-6956510-OS,,,Boné Aphase Connect - Stoned Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-6989278-OS,APH-6989278-OS,,,Boné Aphase Twill Logo - Stoned Beige Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7054814-L,APH-7054814-L,,,Polo Aphase Casual - Petroleum Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7054814-M,APH-7054814-M,,,Polo Aphase Casual - Petroleum Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7054814-S,APH-7054814-S,,,Polo Aphase Casual - Petroleum Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7054814-XL,APH-7054814-XL,,,Polo Aphase Casual - Petroleum Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7087582-L,APH-7087582-L,,,Camisa Aphase Loose - Mottled Brown Marrom,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7087582-M,APH-7087582-M,,,Camisa Aphase Loose - Mottled Brown Marrom,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7087582-XL,APH-7087582-XL,,,Camisa Aphase Loose - Mottled Brown Marrom,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7120350-L,APH-7120350-L,,,Camisa Aphase Check - Dark Blue Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7120350-M,APH-7120350-M,,,Camisa Aphase Check - Dark Blue Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7120350-S,APH-7120350-S,,,Camisa Aphase Check - Dark Blue Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7120350-XL,APH-7120350-XL,,,Camisa Aphase Check - Dark Blue Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7185886-XL,APH-7185886-XL,,,Shorts Aphase Minimal Track - Light Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7218654-L,APH-7218654-L,,,Shorts Aphase Relaxed - Stoned Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7218654-M,APH-7218654-M,,,Shorts Aphase Relaxed - Stoned Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7218654-S,APH-7218654-S,,,Shorts Aphase Relaxed - Stoned Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7218654-XL,APH-7218654-XL,,,Shorts Aphase Relaxed - Stoned Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7251422-S,APH-7251422-S,,,Shorts Aphase Relaxed - Stoned Beige Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7251422-XL,APH-7251422-XL,,,Shorts Aphase Relaxed - Stoned Beige Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:APH-7284190-L,APH-7284190-L,,,Calça Aphase Relaxed SweatPants - Stoned Beige Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
