product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:JI3098-6,JI3098-6,Tênis Adidas Samba OG x Disney Pixar Toy Story,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:1183A201-126-3,1183A201-126-3,Tênis Onitsuka Tiger Mexico 66 White Black Branco,color,"{""color"": ""Branco / Preto""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:ALO-1465950-OS,ALO-1465950-OS,Boné Alo Yoga Off-Duty Preto,size,"{""sizes"": [""Único""]}","{""sizes"": ""offer_or_title_one_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:9783836591089,9783836591089,"Livro Taschen The Adidas Archive: The Footwear Collection 21,7x15,6",color; size,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:MR530TA-4,MR530TA-4,Tênis New Balance 530 Silver Cream Prateado,color,"{""color"": ""Prata / Creme""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JR4790-39,JR4790-39,Tênis Adidas Tokyo MJ Core Black Cream White Gold Metallic Preto,color,"{""color"": ""Preto / Branco / Creme""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:HV6417-001-7,HV6417-001-7,Tênis Nike Zoom Vomero 5 Metallic Silver Platinum Violet Prateado/Violeta,color,"{""color"": ""Prata""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:NUD-2000478-XS,NUD-2000478-XS,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,"{""color"": ""Branco""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:3036040229053224603,3036040229053224603,XL/Gg,color; size,"{""color"": ""Multicolor"", ""sizes"": [""XL""]}","{""color"": ""default_color_multicolor_lucas_completeness_policy"", ""sizes"": ""offer_or_title_alpha_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback; size filled from title/offer/one-size token
online:pt:BR:DA6672-700-44,DA6672-700-44,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
